"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Christian McCaffrey (CAR)","287","1,387","4.8","84","6","15","116","142","1,005","8.7","4","0","16","413.2","25.8","99.5%"
"2","Aaron Jones (GB)","236","1,084","4.6","56","5","16","49","68","474","9.7","3","2","16","290.3","18.1","100.0%"
"3","Derrick Henry (TEN)","303","1,540","5.1","74","9","16","18","24","206","11.4","2","3","15","285.6","19.0","100.0%"
"4","Ezekiel Elliott (DAL)","301","1,357","4.5","33","4","12","54","71","420","7.8","2","2","16","284.7","17.8","99.2%"
"5","Dalvin Cook (MIN)","250","1,135","4.5","75","7","13","53","63","519","9.8","0","2","14","265.9","19.0","100.0%"
"6","Austin Ekeler (LAC)","132","557","4.2","35","4","3","92","108","993","10.8","8","2","16","263.0","16.4","98.2%"
"7","Nick Chubb (CLE)","298","1,494","5.0","88","11","8","36","49","278","7.7","0","3","16","237.2","14.8","98.8%"
"8","Mark Ingram II (BAL)","202","1,018","5.0","53","6","10","26","29","247","9.5","5","2","15","229.5","15.3","38.9%"
"9","Leonard Fournette (TB)","265","1,152","4.3","81","7","3","76","100","522","6.9","0","1","15","221.4","14.8","75.6%"
"10","Saquon Barkley (NYG)","217","1,003","4.6","68","8","6","52","73","438","8.4","2","0","13","218.1","16.8","24.2%"
"11","Chris Carson (SEA)","278","1,230","4.4","59","8","7","37","47","266","7.2","2","4","15","214.1","14.3","98.9%"
"12","Alvin Kamara (NO)","171","797","4.7","40","5","5","81","97","533","6.6","1","1","14","208.0","14.9","100.0%"
"13","Joe Mixon (CIN)","278","1,137","4.1","41","6","5","35","45","287","8.2","3","0","16","207.9","13.0","88.0%"
"14","Todd Gurley II (ATL)","223","857","3.8","25","5","12","31","49","207","6.7","2","2","15","203.9","13.6","96.8%"
"15","Miles Sanders (PHI)","179","818","4.6","65","5","3","50","63","509","10.2","3","1","16","193.7","12.1","98.9%"
"16","Kenyan Drake (ARI)","170","817","4.8","80","4","8","50","68","345","6.9","0","1","14","189.2","13.5","95.9%"
"17","Le'Veon Bell (KC)","245","789","3.2","19","0","3","66","78","461","7.0","1","1","15","182.0","12.1","62.1%"
"18","Josh Jacobs (LV)","242","1,150","4.8","51","8","7","20","27","166","8.3","0","1","13","181.6","14.0","99.7%"
"19","Phillip Lindsay (DEN)","224","1,011","4.5","40","7","7","35","48","196","5.6","0","0","16","180.2","11.3","45.5%"
"20","Marlon Mack (IND)","247","1,091","4.4","63","9","8","14","17","82","5.9","0","0","14","174.3","12.5","7.2%"
"21","Devonta Freeman (NYG)","184","656","3.6","28","3","2","59","70","410","6.9","4","2","14","168.1","12.0","22.1%"
"22","James White (NE)","67","263","3.9","32","1","1","72","95","645","9.0","5","1","15","164.2","10.9","61.8%"
"23","Melvin Gordon III (DEN)","162","612","3.8","24","2","8","42","55","296","7.0","1","3","12","159.8","13.3","91.6%"
"24","Raheem Mostert (SF)","137","772","5.6","41","3","8","14","22","180","12.9","2","2","16","158.2","9.9","94.2%"
"25","David Montgomery (CHI)","242","889","3.7","55","3","6","25","35","185","7.4","1","2","16","157.9","9.9","95.0%"
"26","Ronald Jones II (TB)","172","724","4.2","49","6","6","31","40","309","10.0","0","2","16","150.8","9.4","93.3%"
"27","Carlos Hyde (SEA)","245","1,070","4.4","58","8","6","10","16","42","4.2","0","2","16","148.2","9.3","27.7%"
"28","Sony Michel (NE)","247","912","3.7","26","3","7","12","20","94","7.8","0","1","16","146.6","9.2","13.0%"
"29","Latavius Murray (NO)","146","637","4.4","30","3","5","34","43","235","6.9","1","0","16","140.2","8.8","63.7%"
"30","Adrian Peterson (DET)","211","898","4.3","32","6","5","17","23","142","8.4","0","2","16","138.5","8.7","42.0%"
"31","Devin Singletary (BUF)","151","775","5.1","38","7","2","29","41","194","6.7","2","1","12","133.4","11.1","70.5%"
"32","Duke Johnson Jr. (HOU)","83","410","4.9","40","3","2","44","62","410","9.3","3","1","16","132.0","8.3","59.3%"
"33","James Conner (PIT)","116","464","4.0","25","2","4","34","38","251","7.4","3","1","10","128.5","12.9","97.2%"
"34","Jamaal Williams (GB)","107","460","4.3","45","1","1","39","45","253","6.5","5","0","14","126.8","9.1","55.0%"
"35","Damien Williams (KC)","111","498","4.5","91","2","5","30","37","213","7.1","2","1","11","126.1","11.5","2.0%"
"36","Tevin Coleman (SF)","137","544","4.0","48","4","6","21","30","180","8.6","1","0","14","124.9","8.9","16.8%"
"37","Tarik Cohen (CHI)","64","213","3.3","19","0","0","79","104","456","5.8","3","0","16","124.4","7.8","13.0%"
"38","David Johnson (HOU)","94","345","3.7","18","0","2","36","47","370","10.3","4","1","13","123.5","9.5","86.4%"
"39","Royce Freeman (DEN)","132","496","3.8","26","1","3","43","50","256","6.0","1","0","16","120.7","7.5","2.9%"
"40","Peyton Barber (WAS)","154","470","3.1","17","0","6","16","24","115","7.2","1","1","16","108.5","6.8","1.0%"
"41","Jordan Howard (PHI)","119","525","4.4","20","1","6","10","14","69","6.9","1","0","10","106.4","10.6","15.4%"
"42","LeSean McCoy (TB)","101","465","4.6","39","4","4","28","34","181","6.5","1","2","13","104.6","8.0","1.4%"
"43","DeAndre Washington (MIA)","108","387","3.6","36","1","3","36","41","292","8.1","0","0","16","103.9","6.5","0.7%"
"44","Nyheim Hines (IND)","52","199","3.8","18","0","2","44","58","320","7.3","0","1","16","95.9","6.0","80.4%"
"45","Matt Breida (MIA)","123","623","5.1","83","4","1","19","22","120","6.3","1","1","13","93.8","7.2","20.1%"
"46","Gus Edwards (BAL)","133","711","5.3","63","5","2","7","7","45","6.4","0","1","16","89.1","5.6","30.1%"
"47","Frank Gore (NYJ)","166","599","3.6","41","4","2","13","16","100","7.7","0","0","16","88.4","5.5","36.4%"
"48","Rex Burkhead (NE)","65","302","4.6","33","1","3","27","38","279","10.3","0","1","13","87.6","6.7","13.4%"
"49","Boston Scott (PHI)","61","245","4.0","25","1","5","24","26","204","8.5","0","1","11","84.9","7.7","23.9%"
"50","Kareem Hunt (CLE)","43","179","4.2","16","0","2","37","44","285","7.7","1","0","9","82.9","9.2","97.9%"
"51","Jaylen Samuels (PIT)","66","175","2.7","13","0","1","47","57","305","6.5","1","1","14","81.9","5.9","0.4%"
"52","Tony Pollard (DAL)","86","455","5.3","44","4","2","15","20","107","7.1","1","1","15","81.7","5.4","19.1%"
"53","Kerryon Johnson (DET)","113","403","3.6","20","1","3","10","15","127","12.7","1","1","8","80.0","10.0","24.8%"
"54","Chase Edmonds (ARI)","60","303","5.1","37","4","4","12","21","105","8.8","1","0","13","76.8","5.9","74.5%"
"55","Chris Thompson (JAC)","37","138","3.7","16","0","0","42","58","378","9.0","0","0","11","72.6","6.6","3.6%"
"56","Rashaad Penny (SEA)","65","370","5.7","58","4","3","8","11","83","10.4","1","1","10","71.3","7.1","3.1%"
"57","J.D. McKissic (WAS)","38","205","5.4","44","2","0","34","42","233","6.9","1","0","16","66.8","4.2","55.6%"
"58","Jalen Richard (LV)","39","145","3.7","13","0","0","36","43","323","9.0","0","0","16","64.8","4.1","3.7%"
"59","Alexander Mattison (MIN)","100","462","4.6","35","4","1","10","12","82","8.2","0","1","13","63.4","4.9","32.2%"
"60","Brian Hill (ATL)","78","323","4.1","27","2","2","10","14","69","6.9","1","0","12","62.2","5.2","16.9%"
